model,dataset,exp,acc,f1,recall,precision,time
fcn,CricketY,4,0.7666666507720947,0.6812986731529236,0.7060251832008362,0.6904187202453613,141.90895533561707
fcn,CricketZ,0,0.7871794700622559,0.7013850212097168,0.7226772904396057,0.7114720344543457,142.05434656143188
fcn,CricketZ,1,0.8051282167434692,0.7166479825973511,0.7367275953292847,0.7294328808784485,142.58263063430786
fcn,CricketZ,2,0.7923076748847961,0.7017387747764587,0.7285979986190796,0.7068548202514648,143.71937370300293
fcn,CricketZ,3,0.7974358797073364,0.7260134220123291,0.7439550757408142,0.7401975989341736,143.21746373176575
fcn,CricketZ,4,0.7948718070983887,0.7219180464744568,0.7375650405883789,0.7396312355995178,144.61049365997314
fcn,Crop,0,0.7383333444595337,0.3719915449619293,0.35232195258140564,0.40637606382369995,2440.2988040447235
fcn,Crop,1,0.7371428608894348,0.37016940116882324,0.350432425737381,0.4047192335128784,2428.1289341449738
fcn,Crop,2,0.7397618889808655,0.37787777185440063,0.35832682251930237,0.41265472769737244,2404.008691072464
fcn,Crop,3,0.7423214316368103,0.372830331325531,0.3531937003135681,0.40689268708229065,2425.0817284584045
fcn,Crop,4,0.7391666769981384,0.3744547367095947,0.354640930891037,0.4090953767299652,2410.8981235027313
fcn,DiatomSizeReduction,0,0.9281045794487,0.8861321210861206,0.8902428150177002,0.9094927310943604,11.46658444404602
fcn,DiatomSizeReduction,1,0.9542483687400818,0.9442375302314758,0.9490664601325989,0.9515094757080078,11.558691501617432
fcn,DiatomSizeReduction,2,0.9477124214172363,0.9355889558792114,0.9403517842292786,0.9485215544700623,9.601686000823975
fcn,DiatomSizeReduction,3,0.9575163125991821,0.9519146680831909,0.95560222864151,0.9573917984962463,12.346921920776367
fcn,DiatomSizeReduction,4,0.9477124214172363,0.9342365264892578,0.9381730556488037,0.9456271529197693,11.319441080093384
fcn,DistalPhalanxOutlineCorrect,0,0.7644927501678467,0.741850733757019,0.7546828389167786,0.7605694532394409,225.7866668701172
fcn,DistalPhalanxOutlineCorrect,1,0.7463768124580383,0.7126631736755371,0.7304264307022095,0.7468055486679077,229.39068865776062
fcn,DistalPhalanxOutlineCorrect,2,0.77173912525177,0.7528594732284546,0.7657163143157959,0.7737507820129395,227.52220463752747
fcn,DistalPhalanxOutlineCorrect,3,0.739130437374115,0.7050066590309143,0.7248363494873047,0.7445014119148254,226.59352779388428
fcn,DistalPhalanxOutlineCorrect,4,0.7644927501678467,0.7401188015937805,0.7521666884422302,0.7657381892204285,222.5328938961029
fcn,DistalPhalanxOutlineAgeGroup,0,0.6978417038917542,0.6421717405319214,0.6528740525245667,0.6683574318885803,137.4398591518402
fcn,DistalPhalanxOutlineAgeGroup,1,0.7050359845161438,0.6160888671875,0.6367954611778259,0.6410703659057617,138.1353702545166
fcn,DistalPhalanxOutlineAgeGroup,2,0.6906474828720093,0.6367707848548889,0.6430242657661438,0.674132227897644,135.24058079719543
