model,dataset,exp,acc,f1,recall,precision,time
deffcn,FreezerRegularTrain,3,0.9926315546035767,0.9391511678695679,0.9373683929443359,0.9410526156425476,210.32173824310303
deffcn,FreezerRegularTrain,4,0.9947368502616882,0.9565365314483643,0.9552631378173828,0.9578947424888611,211.1678478717804
deffcn,FreezerSmallTrain,0,0.7898245453834534,0.4690054953098297,0.42612865567207336,0.5298245549201965,43.31418752670288
deffcn,FreezerSmallTrain,1,0.8084210753440857,0.4885638952255249,0.44945028424263,0.5433918237686157,43.349024534225464
deffcn,FreezerSmallTrain,2,0.7922806739807129,0.47215574979782104,0.4301520586013794,0.5321637988090515,43.30694389343262
deffcn,FreezerSmallTrain,3,0.7859649062156677,0.46463489532470703,0.4213801324367523,0.526549756526947,43.104125022888184
deffcn,FreezerSmallTrain,4,0.7743859887123108,0.45827654004096985,0.4127836227416992,0.5237427353858948,42.960166454315186
deffcn,GunPoint,0,1.0,1.0,1.0,1.0,53.49245738983154
deffcn,GunPoint,1,0.9933333396911621,0.9933071732521057,0.9940741062164307,0.9933333396911621,53.29135060310364
deffcn,GunPoint,2,0.9800000190734863,0.9766452312469482,0.9816117286682129,0.9754074215888977,53.22920846939087
deffcn,GunPoint,3,0.9933333396911621,0.9902476072311401,0.9958974123001099,0.9866666793823242,53.87003946304321
deffcn,GunPoint,4,0.9733333587646484,0.9692569971084595,0.9727227687835693,0.9705588817596436,53.04469418525696
deffcn,GunPointAgeSpan,0,0.9873417615890503,0.9207295179367065,0.9177215099334717,0.9240506291389465,122.57142972946167
deffcn,GunPointAgeSpan,1,0.996835470199585,0.973866879940033,0.9731012582778931,0.9746835231781006,123.30150771141052
deffcn,GunPointAgeSpan,2,0.996835470199585,0.973866879940033,0.9731012582778931,0.9746835231781006,123.12244653701782
deffcn,GunPointAgeSpan,3,0.9905063509941101,0.9468626976013184,0.9446202516555786,0.949367105960846,122.6893196105957
deffcn,GunPointAgeSpan,4,0.996835470199585,0.973866879940033,0.9731012582778931,0.9746835231781006,122.22960376739502
deffcn,GunPointMaleVersusFemale,0,0.9683544039726257,0.795452892780304,0.7879746556282043,0.8037974834442139,121.51316285133362
deffcn,GunPointMaleVersusFemale,1,0.9841772317886353,0.8945964574813843,0.8908227682113647,0.8987341523170471,122.04626703262329
deffcn,GunPointMaleVersusFemale,2,0.996835470199585,0.973866879940033,0.9731012582778931,0.9746835231781006,122.25706648826599
deffcn,GunPointMaleVersusFemale,3,0.996835470199585,0.973866879940033,0.9731012582778931,0.9746835231781006,122.13668274879456
deffcn,GunPointMaleVersusFemale,4,0.9936708807945251,0.9477338194847107,0.9462025165557861,0.949367105960846,122.14889407157898
deffcn,GunPointOldVersusYoung,0,1.0,1.0,1.0,1.0,122.2951865196228
deffcn,GunPointOldVersusYoung,1,1.0,1.0,1.0,1.0,122.91758394241333
deffcn,GunPointOldVersusYoung,2,1.0,1.0,1.0,1.0,123.3323585987091
deffcn,GunPointOldVersusYoung,3,1.0,1.0,1.0,1.0,123.32942581176758
deffcn,GunPointOldVersusYoung,4,1.0,1.0,1.0,1.0,122.98288440704346
deffcn,Ham,0,0.7047619223594666,0.4799245595932007,0.42905983328819275,0.5700680613517761,200.4576256275177
deffcn,Ham,1,0.6952381134033203,0.42993414402008057,0.38034188747406006,0.5136752128601074,200.49144101142883
deffcn,Ham,2,0.6761904954910278,0.4409514367580414,0.39145296812057495,0.5317460298538208,201.08282160758972
deffcn,Ham,3,0.7428571581840515,0.4879123866558075,0.44700855016708374,0.5565323829650879,201.0580334663391
deffcn,Ham,4,0.6952381134033203,0.43665891885757446,0.38144075870513916,0.5272108912467957,201.1253559589386
deffcn,HandOutlines,0,0.9270270466804504,0.9149388670921326,0.910148561000824,0.9296578168869019,9330.012221336365
deffcn,HandOutlines,1,0.9108108282089233,0.8978709578514099,0.8949354887008667,0.9134801626205444,9321.96404838562
deffcn,HandOutlines,2,0.8972973227500916,0.8795058131217957,0.8711618185043335,0.9083610773086548,9323.59222316742
deffcn,HandOutlines,3,0.8864864706993103,0.861102819442749,0.8523716330528259,0.9013570547103882,9325.00974059105
deffcn,HandOutlines,4,0.7594594359397888,0.656254768371582,0.6667611002922058,0.8225349187850952,9331.792982578278
deffcn,Haptics,0,0.4707792103290558,0.422243595123291,0.4584910273551941,0.4483611285686493,612.6674737930298
deffcn,Haptics,1,0.5292207598686218,0.48509663343429565,0.529356837272644,0.5242640376091003,612.9977896213531
deffcn,Haptics,2,0.48376622796058655,0.42308637499809265,0.45529991388320923,0.4696691334247589,612.0195138454437
deffcn,Haptics,3,0.5,0.4576267898082733,0.5063017010688782,0.4984632134437561,612.3498728275299
deffcn,Haptics,4,0.5,0.44264844059944153,0.4812801480293274,0.47854360938072205,612.3598206043243
deffcn,Herring,0,0.609375,0.5327749252319336,0.5621031522750854,0.6190476417541504,135.55979943275452
deffcn,Herring,1,0.578125,0.46554115414619446,0.5277777910232544,0.43243372440338135,135.91209077835083
deffcn,Herring,2,0.609375,0.5547619462013245,0.5730158686637878,0.6149267554283142,136.37920570373535
deffcn,Herring,3,0.546875,0.4619925916194916,0.5067459940910339,0.4714285731315613,135.95748901367188
deffcn,Herring,4,0.65625,0.6140432357788086,0.6269841194152832,0.6865079402923584,136.24616837501526
deffcn,HouseTwenty,0,0.9495798349380493,0.7107920050621033,0.7039725184440613,0.7198879718780518,283.8054733276367
deffcn,HouseTwenty,1,0.9663865566253662,0.782500684261322,0.7796027660369873,0.7871147990226746,284.1696834564209
deffcn,HouseTwenty,2,0.9579831957817078,0.7131052017211914,0.7081741690635681,0.7198879718780518,283.59499979019165
deffcn,HouseTwenty,3,0.9579831957817078,0.7131052017211914,0.7081741690635681,0.7198879718780518,283.4601559638977
deffcn,HouseTwenty,4,0.9663865566253662,0.782500684261322,0.7796027660369873,0.7871147990226746,283.28303384780884
deffcn,InlineSkate,0,0.4399999976158142,0.3860873281955719,0.4333992302417755,0.4144820272922516,664.9460220336914
deffcn,InlineSkate,1,0.4145454466342926,0.369887113571167,0.3983566462993622,0.41377198696136475,664.6807215213776
deffcn,InlineSkate,2,0.44545453786849976,0.40356117486953735,0.4534858167171478,0.43534940481185913,665.679797410965
